id,genres1,genres2,genres3
40464,Romance,Comedy,Comedy
41406,Horror,Horror,Horror
70683,Documentary,Documentary,Documentary
34806,Comedy,Comedy,Comedy
64944,Romance,Drama,Drama
64662,Comedy,Comedy,Comedy
116719,Comedy,Comedy,Comedy
111236,Romance,Romance,Romance
33531,Comedy,Comedy,Comedy
102108,Comedy,Comedy,Comedy
74261,Romance,Romance,Romance
118248,Comedy,Comedy,Comedy
117945,Comedy,Comedy,Comedy
40617,Comedy,Comedy,Comedy
64208,Comedy,Comedy,Comedy
123265,Action,Action,Action
24670,Comedy,Comedy,Comedy
117542,Comedy,Romance,Romance
16003,Comedy,Documentary,Documentary
112006,Drama,Drama,Drama
101538,Horror,Documentary,Documentary
114135,Drama,Adventure,Adventure
51130,Comedy,Comedy,Comedy
85529,Documentary,Horror,Horror
12186,Horror,Horror,Horror
85061,Comedy,Comedy,Comedy
84750,Comedy,Comedy,Comedy
102234,Thriller,Thriller,Thriller
30576,Romance,Action,Action
42696,Drama,Documentary,Documentary
42922,Comedy,Horror,Horror
116692,Romance,Drama,Drama
30650,Comedy,Comedy,Comedy
3821,Drama,Drama,Drama
125902,Horror,Thriller,Thriller
84963,Comedy,Comedy,Comedy
80579,Drama,Documentary,Documentary
105778,Comedy,Comedy,Comedy
76866,Comedy,Documentary,Documentary
20890,Comedy,Action,Action
91539,Comedy,Documentary,Documentary
91924,Sci-Fi,Documentary,Documentary
128452,Comedy,Comedy,Comedy
88469,Horror,Horror,Horror
56783,Horror,Horror,Horror
55002,Drama,Drama,Drama
57556,Thriller,Thriller,Thriller
11139,Horror,Horror,Horror
17557,Comedy,Horror,Horror
115586,Comedy,Documentary,Documentary
130696,Thriller,Documentary,Documentary
62176,Comedy,Comedy,Comedy
70341,Sci-Fi,Comedy,Comedy
28441,Comedy,Comedy,Comedy
111602,Horror,Horror,Horror
807,Adventure,Horror,Horror
553,Documentary,Documentary,Documentary
8433,Horror,Horror,Horror
82510,Romance,Romance,Romance
31679,Comedy,Documentary,Documentary
4345,Adventure,Action,Action
7841,Horror,Horror,Horror
92906,Documentary,Documentary,Documentary
57334,Romance,Romance,Romance
14484,Comedy,Comedy,Comedy
