id,genres
40464,Comedy
41406,Horror
70683,Documentary
34806,Comedy
64944,Drama
64662,Comedy
116719,Comedy
111236,Romance
33531,Comedy
102108,Comedy
74261,Romance
118248,Comedy
117945,Comedy
40617,Comedy
64208,Comedy
123265,Action
24670,Comedy
117542,Romance
16003,Documentary
112006,Drama
101538,Documentary
114135,Adventure
51130,Comedy
85529,Horror
12186,Horror
85061,Comedy
84750,Comedy
102234,Thriller
30576,Action
42696,Documentary
42922,Horror
116692,Drama
30650,Comedy
3821,Drama
125902,Thriller
84963,Comedy
80579,Documentary
105778,Comedy
76866,Documentary
20890,Action
91539,Documentary
91924,Documentary
128452,Comedy
88469,Horror
56783,Horror
55002,Drama
57556,Thriller
11139,Horror
17557,Horror
115586,Documentary
130696,Documentary
62176,Comedy
70341,Comedy
28441,Comedy
111602,Horror
807,Horror
553,Documentary
8433,Horror
82510,Romance
31679,Documentary
4345,Action
7841,Horror
92906,Documentary
57334,Romance
14484,Comedy
86272,Romance
11656,Thriller
129042,Comedy
82209,Drama
5436,Documentary
94571,Horror
12524,Drama
89762,Horror
122031,Horror
116274,Comedy
104271,Drama
57728,Drama
44175,Romance
43789,Drama
119998,Comedy
56452,Romance
125666,Horror
7406,Adventure
10545,Horror
25503,Comedy
77474,Thriller
7437,Action
85696,Drama
107346,Comedy
39800,Action
9044,Action
106474,Documentary
116614,Comedy
9442,Horror
78233,Drama
113256,Horror
120342,Comedy
52951,Comedy
51110,Comedy
85972,Horror
2863,Action
35226,Horror
124946,Comedy
42875,Documentary
89748,Comedy
104233,Documentary
92478,Drama
100218,Drama
10441,Comedy
17472,Action
4698,Romance
55492,Comedy
6754,Action
2999,Horror
110702,Drama
20780,Documentary
73925,Horror
26330,Documentary
126241,Sci-Fi
34678,Documentary
128250,Drama
55740,Documentary
11631,Romance
117627,Documentary
257,Documentary
704,Comedy
9028,Horror
75274,Horror
6827,Horror
53258,Comedy
115734,Comedy
72400,Documentary
118999,Horror
25827,Documentary
49904,Romance
383,Romance
32326,Horror
73624,Romance
